Song,Artist,Length,Intensity,Acoustic Only?,,
24K Magic,Bruno Mars,3:46,5,0,,
Absolutely (Story of a Girl),Nine Days,3:11,4,0,,
Adventure of a Lifetime,Coldplay,4:24,4,0,,
Aeroplane,Red Hot Chili Peppers,4:45,3,0,,
Ain't No Rest for the Wicked,Cage the Elephant,2:52,3,0,,
Amber,311,2:58,2,0,,
Ants Marching,Dave Matthews Band,4:31,3,1,,
Around the World,Red Hot Chili Peppers,3:58,3,0,,
Baby Got Back,Sir Mix-A-Lot,4:22,4,0,,
Better Days,Citizen King,3:38,2,0,,
Big Me,Foo Fighters,2:13,2,0,,
Blackbird,The Beatles,2:19,1,1,,
Brick House,Commodores,3:37,4,0,,
Brown Eyed Girl,Van Morrison,3:05,2,0,,
Butterfly,Crazy Town,3:36,3,0,,
Can't Stop the Feeling!,Justin Timberlake,3:56,5,0,,
Celebration,Kool & The Gang,3:39,4,0,,
Every Morning,Sugar Ray,3:39,3,1,,
Everybody Wants to Rule the World,Tears for Fears,4:11,3,0,,
Feel Good Inc.,Gorillaz,3:41,3,1,,
Flagpole Sitta,Harvey Danger,3:37,5,0,,
Float On,Modest Mouse,3:28,3,0,,
Fly Away,Lenny Kravitz,3:41,4,0,,
Fly Me to the Moon,Frank Sinatra,2:30,2,0,,
Footloose,Kenny Loggins,3:48,4,0,,
For Once in my Life,Stevie Wonder,2:52,3,1,,
Friend of the Devil,Grateful Dead,3:26,2,1,,
Friends in Low Places,Garth Brooks,3:45,3,0,,
Get Down Tonight / This is How,KC & The Sunshine Band,7:20,5,0,,
Girl From Ipanema,Frank Sinatra,3:15,1,0,,
Hallelujah,Jeff Buckley,5:00,1,1,,
Hard to Handle,The Black Crowes,2:17,4,0,,
Hey Ya!,Outkast,3:55,2,1,,
Hotline Bling,Drake,4:27,2,1,,
I Can't Help Falling in Love,Elvis Presley,2:59,1,1,,
I Need a Dollar,Aloe Blacc,4:04,3,0,,
I Try,Macy Gray,3:59,2,0,,
I WIll Follow You Into the Dark,Deathcab for Cutie,3:09,1,1,,
I Will Survive,CAKE,4:14,3,0,,
I'm Gonna Be (500 Miles),The Proclaimers,3:39,3,0,,
I'm Sexy and I Know It,LMFAO,3:19,4,1,,
I'm Yours,Jason Mraz,4:17,1,1,,
Ignition (Remix),R. Kelly,3:16,3,0,,
Inside Out,Eve 6,3:39,4,0,,
It Wasn't Me,Shaggy,3:47,4,0,,
It's All Been Done,Barenaked Ladies,3:26,3,0,,
Let's Get It Started,The Black Eyed Peas,3:39,5,0,,
Little Lion Man,Mumford & Sons,4:06,2,1,,
Love on the Brain,Rihanna,3:44,2,1,,
Low Rider,War,3:13,3,0,,
Lullaby,Shawn Mullins,4:32,2,0,,
Marry You,Bruno Mars,3:50,4,0,,
Mary Jane's Last Dance,Tom Petty,4:35,4,0,,
My Girl,The Temptations,2:55,3,0,,
My Own Worst Enemy,Lit,2:49,5,0,,
Never There,CAKE,2:44,3,0,,
New York New York,Frank Sinatra,3:16,3,0,,
No Such Thing,John Mayer,3:51,3,0,,
One Headlight,The Wallflowers,4:45,3,0,,
One Kiss,Calvin Harris,3:35,4,0,,
Play That Funky Music,Wild Cherry,4:00,5,0,,
Rock the Casbah,The Clash,3:43,3,0,,
Roll to Me,Del Amitri,2:12,3,0,,
Ruby,Kaiser Chiefs,3:23,4,0,,
Run Around,Blues Traveler,4:40,3,0,,
Santeria,Sublime,3:03,2,0,,
Say It Ain't So,Weezer,4:18,3,0,,
Semi-Charmed Life,Third Eye Blind,4:29,4,0,,
Shake It Off,Taylor Swift,3:39,2,0,,
Shimmer,Fuel,3:35,4,0,,
Sitting Waiting Wishing,Jack Johnson,3:03,1,1,,
Smooth Criminal,Alien Ant Farm,3:29,4,0,,
So Much to Say,Dave Matthews Band,4:07,3,0,,
Stand By Me,Ben E. King,2:57,2,0,,
Starboy,The Weekend,3:50,3,0,,
Starlight,Muse,4:00,3,0,,
Sunday Morning,Maroon 5,4:04,2,0,,
Superstition,Stevie Wonder,4:26,4,0,,
Sweater Weather,The Neighbourhood,4:00,2,0,,
Sweet Caroline,Neil Diamond,3:21,3,0,,
Sweet Emotion,Aerosmith,4:20,4,0,,
Take the Money and Run,Steve Miller Band,2:50,3,0,,
Take Your Mama,Scissor Sisters,4:31,3,0,,
Tequila,The Champs,2:30,4,0,,
The Ballad of John and Yoko,The Beatles,2:59,3,1,,
The Boys are Back in Town,Thin Lizzy,4:29,4,0,,
The Distance,CAKE,3:00,3,0,,
The Middle,Jimmy Eat World,2:46,5,0,,
The Way,Fastball,4:17,3,0,,
This Love,Maroon 5,3:30,3,0,,
To Be Young (is to Be Sad),Ryan Adams,3:05,3,1,,
Twist and Shout,The Beatles,2:32,3,0,,
Uptown Funk,Mark Ronson/Bruno Mars,4:00,5,0,,
Valerie,The Zutons,3:56,3,0,,
Wagon Wheel,Old Crow Medicine Show,3:52,3,0,,
Waiting on the World to Change,John Mayer,3:18,3,0,,
What Would You Say,Dave Matthews Band,4:07,3,0,,
What's My Age Again?,Blink-182,2:26,5,0,,
Whatever You Like,T.I.,4:00,2,0,,
When You Were Young,The Killers,3:40,4,0,,
Why Georgia?,John Mayer,4:28,1,1,,
Wish You Were Here,Incubus,3:36,3,0,,
Wonderful Tonight,Eric Clapton,3:43,1,0,,
You Gotta Be,Des'ree,4:04,3,0,,
Runaway Baby,Bruno Mars,2:27,4,0,,
Finesse,Bruno Mars,3:37,4,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
